id	createdAt	username	forum	raw_message
4938477740	2020-06-03T01:35:11	julianmascarenas	istheservicedown	Havs not hax internet since yezterday
4938483141	2020-06-03T01:40:29	None	istheservicedown	No power since 630pm here on marlboro county clio sc
4938484381	2020-06-03T01:41:43	None	istheservicedown	does anyone know whats going on and when this will be fixed
4938491346	2020-06-03T01:48:36	None	istheservicedown	I pay $212 a month for cable and internet in Concord,NC. I want to watch the news and the channel is totally scrambled. Almost every week we have an issue with either tv or internet.. I continue to keep because the other Internet providers in the area worse. Smh
4938505028	2020-06-03T02:01:51	disqus_sPtPUs6sy9	istheservicedown	How can it be just one news channel!
4938506771	2020-06-03T02:03:32	None	istheservicedown	Hey max I would greatly appreciate any info on my tracking number 9505516319020147238351 it says it was in possession of USPS on 5/26/2020 and it said estimated delivery Saturday 5/30/2020 no package yet and now it says it’s moving with the usps network not sure what that mean no new estimated delivery I believe it has not moved in days
4938509291	2020-06-03T02:06:05	disqus_sPtPUs6sy9	istheservicedown	How can it be only one channel!! One news channel!
4938520577	2020-06-03T02:17:33	disqus_sPtPUs6sy9	istheservicedown	How can it be only one channel! One news channel!?
4938525395	2020-06-03T02:22:32	disqus_SqdRraZ0H8	istheservicedown	Cable TV outage in Orlando, Fox News.
4938526667	2020-06-03T02:23:52	disqus_sPtPUs6sy9	istheservicedown	Same here in N.C.!! One channel!
4938528555	2020-06-03T02:25:47	disqus_SqdRraZ0H8	istheservicedown	A Spectrum van was in the neighborhood for hours yesterday.  Didn't have any problems until today.  Strange.
4938529789	2020-06-03T02:27:03	cadranni	istheservicedown	I'm reporting for my elderly mom is in Oregon House California 95962. No service today or yesterday, she's emailing me. Who do I call? She tried going to the Verizon store but it's closed. She and my dad are in their 80s in bad health.
4938530011	2020-06-03T02:27:16	disqus_sPtPUs6sy9	istheservicedown	I think its odd too, one channel seems very strange.
4938531634	2020-06-03T02:29:00	None	istheservicedown	I sent a package on 5/28 with an estimated delivery of 6/1.  The package has not even made it to the distribution center of the city I was sending it to.  Tracking is 9402108205496361757555.  It is a very expensive package.  I am worried.
4938534606	2020-06-03T02:32:08	None	istheservicedown	I have one channel that I watch at night in the the picture has been jumping with spots in it for the last two hours and it is channel 477 fetv but all my other channels are coming in great so that's reason I want to know if they have a outage in Graham n.c
4938567761	2020-06-03T03:07:22	disqus_gzynxymFPz	istheservicedown	Hi Max... again, thank you for all you do on here! I brought this tracking number to you about a month ago: 4207614892748927005303010033519942...i ordered it on 4/18.Shipping Partner says it's gone from Jamaica NY (4/21) to Los Angeles CA (5/05) now to Bloomington CA (5/28).I'm in Fort Worth TX. Any ideas for me??
4938574362	2020-06-03T03:14:26	None	istheservicedown	I wish someone would make another internet company. Literally ANYBODY! I think you would be surprised how many people would at least try your service just to get away from Spectrum. I have HAD to use them 3 times now because no other company exists where I have lived. And EVERY SINGLE TIME something ends up happening! I am so over being their costumer! Someone please make a new internet company! I promise I won’t be the only one running your way!
4938585513	2020-06-03T03:27:24	disqus_ORK72QNjNa	istheservicedown	fox news is  unwatchable. The rest of the bullshit stations seem fine. I guess they got hacked
4938608173	2020-06-03T03:54:12	randallbateman	istheservicedown	phone tower going out in St. Louis June 2nd intermittently
4938609503	2020-06-03T03:55:53	None	istheservicedown	Hi Everyone, is anyone else in the city of Westminster, CA. 92683 experiencing an internet outage?
