id	createdAt	username	forum	thread	raw message
4950486906	2020-06-11T19:41:34	disqus_S0HWFG2cho	downdetector	US comcast-xfinity	Outage in miami, eta 7:27pm et
4950515403	2020-06-11T20:02:12	darladicrecchio	downdetector	US comcast-xfinity	Internet down in Medford Lakes, NJ
4950557652	2020-06-11T20:31:59	disqus_pkxjvKFMBf	downdetector	US comcast-xfinity	It's always failing in my area. I live in a rural area, pay $100/month only to loose internet at least twice a day. Then they want to charge you for a tech, but I am paying for a service that's not reliable and they want to charge me for the tech because they outsource the work. It's a whole lotta BS! I live in Bedford Indiana.
4950761753	2020-06-11T23:13:28	unavailable	downdetector	US comcast-xfinity	I’m in Florence Alabama and my speeds are low.
4950792604	2020-06-11T23:43:35	SerraWallerius	downdetector	US comcast-xfinity	Affecting Battle Creek, too. First it was "resolved by 6:10am" then "resolved by 6:01pm" now it's "resolved by 5:51am". I'm recovering from surgery, here, and going out of my damn mind with boredom.  Also their speed test says I'm getting a download speed of 24.8Mbps.
4950795659	2020-06-11T23:46:32	unavailable	downdetector	US comcast-xfinity	Comcast keeps going in and out in Elk Grove, CA. For the past half hour we've had maybe five minutes of internet.
4950804187	2020-06-11T23:55:00	disqus_S0HWFG2cho	downdetector	US comcast-xfinity	Outage still in miami, now eta 9:41 pm
4950805102	2020-06-11T23:55:53	disqus_S0HWFG2cho	downdetector	US comcast-xfinity	Not sure why it says no problem in miami
4950814947	2020-06-12T00:06:15	sergiovettese	downdetector	US comcast-xfinity	Still no internet since 11 pm yesterday. Rochester hills michigan
4950891870	2020-06-12T01:30:28	disqus_flyDrWRZMW	downdetector	US comcast-xfinity	Com trashed is out in fresno California again    Only thing works real good is there billing Department
4950893232	2020-06-12T01:32:03	disqus_flyDrWRZMW	downdetector	US comcast-xfinity	They may be getting data from the ISP's maybe
4950916973	2020-06-12T01:59:37	disqus_rbOklIAoKS	downdetector	US comcast-xfinity	Out in Chicago
4950970537	2020-06-12T03:05:12	disqus_ymqUQASvql	downdetector	US comcast-xfinity	This has been happening to us fairly consistently for 4 weeks now here in Colorado Springs.  Have had two technicians come to our house claiming to have fixed the problems, but the problems persist.  Am having a third technician coming out tomorrow, but not too sure what he will find.  Not worth the $265 a month we're paying for t.v., internet, and phone.
4951041247	2020-06-12T04:53:31	thiefest	downdetector	US comcast-xfinity	300 ping
4951111422	2020-06-12T06:24:27	disqus_Z9iKyRLfQn	downdetector	US comcast-xfinity	Hey I’m in fresno California to and my problem is the WiFi network doesn’t show up on any of my devices is this your problem to?
4951158389	2020-06-12T07:59:12	beverlywindham	downdetector	US comcast-xfinity	I'm in south New Jersey. Trying to download a game on Xbox  an it took forever, sure it had to with wifi. Up 7hrs just for a game . Totally not right
4951161336	2020-06-12T08:04:38	disqus_B06Jzzg5Gs	downdetector	US comcast-xfinity	Second Night of Clock Strikes Midnight and Internet Jumps in the Carriage and give this $200 month Xfinity/Comcast customer the bird!!  Getting old..  Hendersonville TN
