id	createdAt	username	forum	thread	raw message
4955536700	2020-06-15T22:03:00	joshsliker	downdetector	US verizon	Mine is working only to call 1 phone number on my entire contact list been that way for hours
4955538114	2020-06-15T22:04:19	brizzad505	downdetector	US verizon	Its the deep state/Illuminati.   hahaha
4955538998	2020-06-15T22:05:10	fritzwire6963	downdetector	US verizon	If you have Verizon and unable to make or receive calls, file a complaint against them! They are going about saying that they are having no problems whatsoever and that data from this website is inaccurate. They are pretending to not know what is going on and dont want to admit it to save face.
4955542143	2020-06-15T22:08:11	veracromwellreese	downdetector	US verizon	I have Verizon and I can make some calls but other numbers show failed call. My location is Maryland.
4955544024	2020-06-15T22:10:01	fritzwire6963	downdetector	US verizon	Problem here is that a rep from Verizon went on to say that Verizon is having no issues whatsoever only that they know another carrier is having issues. And that this website is not really accurate.
4955545470	2020-06-15T22:11:26	unavailable	downdetector	US verizon	LOL, no. Updates dont crash systems nationwide. And they'd never deploy 5g at the same time as an update, if there was one.
4955547583	2020-06-15T22:13:32	jane_cluss_gasch	downdetector	US verizon	I have Verizon and I haven’t had any problems in Maryland.
4955547775	2020-06-15T22:13:44	eileennaputi	downdetector	US verizon	Here in Denver.  No call no text service.  Past  2hrs. Now 410pm. Verizon service
4955547924	2020-06-15T22:13:53	unavailable	downdetector	US verizon	Im in Joe Bidens basement, hanging by my ankles with weak reception. Can someone send help?
4955550184	2020-06-15T22:16:09	unavailable	downdetector	US verizon	I’m in Oregon and I can receive and make phone calls and text but my sister who has t mobile can not receive phone calls but can text and make phone calls
4955552925	2020-06-15T22:18:48	eveemanuel	downdetector	US verizon	where do you live?
4955553565	2020-06-15T22:19:27	rob_lichner	downdetector	US verizon	wrong. I have many people with verizon with the company I work for and they cannot call, text, or get data at many locations across the county.. Facebook and others are having issues as well.. stop spreading false info.. even the verizon stores are saying they are having issues around here.. (of course VZ corp denies it.. ha)
4955554431	2020-06-15T22:20:22	jane_cluss_gasch	downdetector	US verizon	Odenton, MD
4955554832	2020-06-15T22:20:47	disqus_ncEXIi70cl	downdetector	US verizon	Maryland with no problems on Verizon
4955555583	2020-06-15T22:21:34	disqus_FN7ONRHX1m	downdetector	US verizon	I have Verizon and it's been about 4 hours now since I've been able to make a phone call!!! I live in Los Angeles.
4955555634	2020-06-15T22:21:36	anthonybridy	downdetector	US verizon	Bucks county pa.. I can get text and calls,but can't make any outgoing calls..verison is my carrier
4955556140	2020-06-15T22:22:06	disqus_cMQfFqyGG5	downdetector	US verizon	When is Verizon planning on fixing this its been hours and hours and can't make any call or text messages? Philadelphia
4955556755	2020-06-15T22:22:45	unavailable	downdetector	US verizon	Neither phone in our plan is functioning--we have no land line, so it's critical to get restored service. Chicago area. Any word?
4955559256	2020-06-15T22:25:17	disqus_VrKkZ3AZrq	downdetector	US verizon	I am in Alabama, can make and receive calls to other Verizon customers, but can't send text or make calls to T-Mobile  customers, but CAN receive calls from T-Mobile customers.
4955559567	2020-06-15T22:25:37	disqus_cMQfFqyGG5	downdetector	US verizon	Same here last thing I saw was Verizon was denying that there were any outages and said their systems were fully operational. Time to switch
4955559954	2020-06-15T22:26:02	jet_skier	downdetector	US verizon	Verizon has been down in salt lake county for about 4 hours. Calls will only go through on a very rare basis. Less than one out of every 10 calls work.
4955560000	2020-06-15T22:26:05	unavailable	downdetector	US verizon	Louisville, KY- I’ve had problems with calls going through. I can’t call some people but a few I can. The ones I can’t call I can receive calls from and can text with them. Noticed the issue about 2pm.
4955560279	2020-06-15T22:26:19	disqus_VrKkZ3AZrq	downdetector	US verizon	Don't make any sudden moves!
4955560330	2020-06-15T22:26:22	unavailable	downdetector	US verizon	I am having problem with Verizon. I am in Maryland.
4955560555	2020-06-15T22:26:38	disqus_ncEXIi70cl	downdetector	US verizon	Try WiFi calling.
4955560611	2020-06-15T22:26:43	disqus_1mQW7nWpJe	downdetector	US verizon	We have three phones in this house.  One through T-Mobile, one through AT&T, and one is a Google Voice phone run through my Xfinity internet.  NONE will allow me to place or receive a call.  I take care of my 85 year old mother who has numerous health issues.  This is dangerous as all get out!  I assumed having three phones would always insure that I would be able to get help if needed.  Boy was I wrong!!
4955561772	2020-06-15T22:27:53	disqus_ncEXIi70cl	downdetector	US verizon	Did you try wifi calling on Tmobile or AT&T?
4955563292	2020-06-15T22:29:24	disqus_ncEXIi70cl	downdetector	US verizon	Where in Maryland? I am near Rockville
4955563854	2020-06-15T22:29:59	unavailable	downdetector	US verizon	I have Verizon  and I cannot make calls, text, or recieve calls. Atlanta GA
4955564359	2020-06-15T22:30:30	disqus_1mQW7nWpJe	downdetector	US verizon	I have tried wifi, no wifi, rebooting my modem and wifi, standing outside (I was losing it and thought maybe something in the house was blocking the signal)...  I can text.  My sister is remodeling a house a block away.  I went to see her.  Her phones aren't working either.  Wow.  This is nuts.
4955566464	2020-06-15T22:32:38	unavailable	downdetector	US verizon	If you have WiFi at the house setup WiFi calling on all the phones.  That way if the cell signal is bad you can still call out.
4955567564	2020-06-15T22:33:44	disqus_1mQW7nWpJe	downdetector	US verizon	Uh...I have found myself on the wrong site.  Sorry folks.  I started out on a T-mobile reporting site.  I must have switched to Verizon somehow.  Thanks for your help.  Good luck to all of us.
4955569405	2020-06-15T22:35:37	disqus_fmI8DvYKJ3	downdetector	US verizon	Tampa FL - Verizon - outage.
4955569931	2020-06-15T22:36:08	unavailable	downdetector	US verizon	How long are we going is this going be please,
4955570606	2020-06-15T22:36:49	jane_cluss_gasch	downdetector	US verizon	My husband and me and my dad have been calling each other several times today with no issues. Locations Odenton, Upper Marlboro (and my dad was in WV). We all have Verizon. So weird!
4955573414	2020-06-15T22:39:37	disqus_FN7ONRHX1m	downdetector	US verizon	Yeah don't know why they are lying...🤔 I just switched too, from Sprint. Smh!
4955573442	2020-06-15T22:39:38	leahwarney	downdetector	US verizon	I have tmobile they said all towers are down..i guess we all.share the same tower.cant use landline cuz noone will answer. Where's a pay phone when u need one
4955573541	2020-06-15T22:39:44	disqus_VrKkZ3AZrq	downdetector	US verizon	I'm in Millbrook, can't call or text  T-Mobile numbers.
4955573947	2020-06-15T22:40:08	unavailable	downdetector	US verizon	I have Metro PC no phone. Indianapolis
4955574823	2020-06-15T22:41:01	disqus_gjmoJA8Fs6	downdetector	US verizon	Central Mountains of Idaho near McCall, we have service.
4955574825	2020-06-15T22:41:01	disqus_tjTNaJMo0R	downdetector	US verizon	If you use Xfinity I believe you are making wi-fi calls.  Not cell calls.
4955575162	2020-06-15T22:41:20	disqus_LeZJSIAx91	downdetector	US verizon	I have Verizon for work , tomobile personal , I am in Fontana CA , nothing working even on wifi calling
4955575170	2020-06-15T22:41:20	unavailable	downdetector	US verizon	Coronavirus, riots and now no Verizon. It's the End of the World !!!
4955576462	2020-06-15T22:42:40	disqus_lz4Ft1I7pk	downdetector	US verizon	Absolutely no service beyond being on wifi to other iPhone users.... middle Georgia
4955576653	2020-06-15T22:42:51	disqus_phzQlYbAnd	downdetector	US verizon	I'm surprised your medical advisors didn't urge you to retain a home phone.  That was urged upon me several times during conversations with my Mom's providers.  I finally gave in and put one in.  It really has come in handy a couple times now.
4955576758	2020-06-15T22:42:57	playdromelanes	downdetector	US verizon	Read the news. USA is under cyber attack for the last 3 hours or so
4955578492	2020-06-15T22:44:41	unavailable	downdetector	US verizon	That made me chuckle. :)
4955578907	2020-06-15T22:45:07	disqus_7iwN9xB3IU	downdetector	US verizon	In Houston Texas, outgoing calls not connecting reliably, unsure if my texts are getting through or if Im missing any calls. Was able to connect to someone in New Orleans
4955579257	2020-06-15T22:45:29	unavailable	downdetector	US verizon	Cannot make outgoing calls San Antonio,TX
