id	createdAt	username	forum	thread	raw message
4263236563	2018-12-31T07:09:35	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	Cable TV and internet down from 10pm PDT in Pleasanton 94588 home. Tech support could not help.
4263270639	2018-12-31T08:17:41	arcgames-f6b947ec911be27192efd2eafabc902a	istheservicedown	Comcast outage or service down? Current problems and outages	Internet in Tacoma Washington down for over a week now. @comcastcares Comcast doesn't really care, been transferred everytime I call, try to troubleshoot saying internet works. Cannot connect due to DHCP. Have a brand new laptop straight from the store never been used and Comcast says all internet is good and it's all my electronics. They lie and make you feel bad for their faulty service blaming it on you. Sick of their rude call service and their complete lack of responsibility. Only way to fix it is if people stop using them so Comcast is forced to change and adapt. But people most likely won't actually stop using them. I know for sure I'm done though.
4263391583	2018-12-31T11:45:56	arichx	istheservicedown	Comcast outage or service down? Current problems and outages	Netflix and YouTube are down
4263580510	2018-12-31T15:12:35	disqus_bq0LcAwG8m	istheservicedown	Comcast outage or service down? Current problems and outages	Germantown Md...Rt 118 & Crystal Rock Drive area....Wifi has been going in & out all morning. Error message pops up constantly saying check wireless connection. When you click it my network says im connected.  Thought it was most likely my phone spazzing out but my sister in laws is doing it as well and she just got home.   Everytime this happens we are told there are no outages or problems in our area 😠
4263730869	2018-12-31T17:10:32	wesleywooten	istheservicedown	Comcast outage or service down? Current problems and outages	john_mathers yes
4263951363	2018-12-31T20:06:01	baracknophobia	istheservicedown	Comcast outage or service down? Current problems and outages	37922, 37934 -- seems Internet is down; actually restarted my $8K system when it went down. Not happy. Is Russia finally using their weaponized satellites in orbit to cause Oak Ridge to go cold and dark? LOL! The US is SOOOO behind. South Korea has, on average, consumer speeds 10-100x faster than the US.
4264062003	2018-12-31T21:49:26	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	All of the sudden lots of channels are missing! I am missing all my local channels and sports channels. I spent 1.5 hrs on the phone speaking to two reps and no one is able to help me. So upset! I am based in Miami, FL.
4264228126	2019-01-01T00:43:53	drewlamden	istheservicedown	Comcast outage or service down? Current problems and outages	Why do they insist that they don't see any service outages and then I see them on the outage map?  And I have "COMCAST BUSINESS CLASS."  They can't come out for 2 days and it is my business that I pay a lot for their poor service!
4264423184	2019-01-01T05:15:10	demarcusbassett	istheservicedown	Comcast outage or service down? Current problems and outages	I was with at&t for five years up until I moved where I forced to get comcast. I never had any outrage problems with uverse I really hate that I got comcast this c as ble company is horrible my cable been out almost a week . After my contract expires I'm going with DirecTV or sling tv
4264448571	2019-01-01T05:58:43	Patriots21	istheservicedown	Comcast outage or service down? Current problems and outages	Way to start off the new year 💪 strong comcast. I'm not even going to bother with your useless customer service this time. I actually feel sorry they have to represent your piss poor service
4264680508	2019-01-01T13:12:36	Grandpa_Dave	istheservicedown	Comcast outage or service down? Current problems and outages	Bay County Florida: With restored Comcast service after Hurricane Michael this past December, has anyone out there received a Comcast bill with a new charge of $100 per month for an additional service (something called Xfinity Triple Play) that was not ordered? Looks like Comcast is trying to make up for losses incurred after Michael. Anyone for a Class Action?
4264796716	2019-01-01T15:32:55	disqus_rRQW7BqwES	istheservicedown	Comcast outage or service down? Current problems and outages	Adams Morgan, DC, outtage. Anyone else annoyed on Jan. 1, 2019?
4264819589	2019-01-01T15:53:42	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	I been having internet issues in Dover, DE for at least 2 weeks now
4264837283	2019-01-01T16:10:20	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	Tulare county CA internets been out since 3am. So annoying hope it gets fixed asap
4264867891	2019-01-01T16:37:09	disqus_0aOZwbz1IB	istheservicedown	Comcast outage or service down? Current problems and outages	Smyrna, Ga. WiFi outage. Jan 1, 2019. 11:30am EST.
4264912099	2019-01-01T17:14:49	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	Yup. I’m right near Tail Up Goat. Happy new year to us. Love Comcast.
4264919620	2019-01-01T17:21:14	teechie	istheservicedown	Comcast outage or service down? Current problems and outages	I left annoyed some time ago.  The Best part, as I try to explain to my customer service agent the impact on a day of Celebrations for the New Year, she tells me she does not have cable, phone or internet. (I guess she borrows a phone for work?) Thanks Emma. and  helpful suggestion by comcast to go online to check on status. I am drumming up data charges as I type. Comcast is WAY too much money for this kind of service
4264921523	2019-01-01T17:22:53	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	Huntsville, AL Bob Wallace/Triana blvd 11:00am - TBD... Service out
4264926567	2019-01-01T17:27:15	sajalbagchi	istheservicedown	Comcast outage or service down? Current problems and outages	No internet from past 2 hrs in Southside blvd, Jacksonville. Atleast I did not expect a new year start like this..poor service !!
4264942509	2019-01-01T17:41:03	truehaynes	istheservicedown	Comcast outage or service down? Current problems and outages	Yes, on allAl PL
4264943739	2019-01-01T17:42:05	truehaynes	istheservicedown	Comcast outage or service down? Current problems and outages	Any promyof getting this fixed?
4264948814	2019-01-01T17:46:28	kailanihawk	istheservicedown	Comcast outage or service down? Current problems and outages	Comcast is down in Adams Morgan, DC since around 4 this morning.
4264954688	2019-01-01T17:51:31	modernmethod-30ef4683f540487d408eb618550a3d2c	istheservicedown	Comcast outage or service down? Current problems and outages	Internet just went down for us in Earlysville, Virginia.  It came back up 15 minutes later.
4264961524	2019-01-01T17:57:24	modernmethod-30ef4683f540487d408eb618550a3d2c	istheservicedown	Comcast outage or service down? Current problems and outages	We switched to DirectTV, but still use Comcast for internet service.
4265085849	2019-01-01T19:46:41	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	I have no TV or Internet working in Jackson, MS
4265090922	2019-01-01T19:50:53	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	Is anybody else having a problem with Xfinity
4265157904	2019-01-01T20:49:44	disqus_N3W0zak7bk	istheservicedown	Comcast outage or service down? Current problems and outages	Just checked the Comcast service site and it said 3hours til eta of fix. :(
4265174654	2019-01-01T21:04:55	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	Mine has been out since 11:30am on January 1, 2019. This is son frustrating!  Fairburn, GA
4265274220	2019-01-01T22:40:06	scott_pritchett	istheservicedown	Comcast outage or service down? Current problems and outages	Internet out all day in Dupont neighborhood, Washington, D.C..  Happy New Year to you, too.
4265319667	2019-01-01T23:28:56	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	Mine is still down.
4265347525	2019-01-02T00:01:07	disqus_r4DKazowS9	istheservicedown	Comcast outage or service down? Current problems and outages	I’m starting to get real cranky over the frequency of outages Xfinity is having. 7 times in two weeks is far too often.
4265355404	2019-01-02T00:10:26	scottcorrales	istheservicedown	Comcast outage or service down? Current problems and outages	Anyone aware of an outage in Pembroke Pines FL? Thank you!
4265401546	2019-01-02T01:06:15	michaelkilburn	istheservicedown	Comcast outage or service down? Current problems and outages	Crapcast is providing their same old SHITTY no service. Cable, phone  & internet down over 24 hours and counting. No answer on the "support" line.
4265466772	2019-01-02T02:23:47	thmteach	istheservicedown	Comcast outage or service down? Current problems and outages	I don't have service but when you call an ask if there's an outage they appear to be completed oblivious and swear there's no outage! Look online and find that the whole area is complaining smh Dekalb County, Stone Mountain area. Ridiculously consistent.
4265513193	2019-01-02T03:22:06	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	Aurora, Colorado - 8 hours of decent reception in the last 48 hours.  Comcast is a piece of SHIT company.  No updates.  2nd big holiday where they can't get things right.
4265609144	2019-01-02T05:40:00	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	Here i am thinking i was being ddosed, in fact theres a huge outage.
4265631592	2019-01-02T06:18:07	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	No service. Fairburn GA
4265632032	2019-01-02T06:18:30	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	No service Fairburn GA
4266200381	2019-01-02T16:59:23	ivan_putski	istheservicedown	Comcast outage or service down? Current problems and outages	Down in North Woodmoor
4266240042	2019-01-02T17:26:12	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	7th street on west Arapahoe without WiFi - continually trying to resolve the host...
4266245803	2019-01-02T17:30:06	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	It's always remarkable to me how hardwired Fiber Optic Cables can cease to operate at random times throughout the day. This is not satellite people. Fix it.
4266257094	2019-01-02T17:37:52	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	Down in Dacula GA. But of course it's my fault and not Comcast.
4266411732	2019-01-02T19:15:20	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	Jan 2 2019. Internets been down since 930am. This is the 5th day in a row with a multiple hour service interruption. Zip code 98407
4266423828	2019-01-02T19:23:09	erinhans	istheservicedown	Comcast outage or service down? Current problems and outages	Down in Dallas, GA for 2 hours now.
4266458781	2019-01-02T19:46:26	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	All down since Dec 31.  No dropping of the ball, no New Years Parade.  Today the first workday and nothing.  Ruined the New Years for my children wanting to watch the parade.   You cannot speak to a technician and there is no recorded message WHY it’s down.  No internet so work stops, period.  This is in Marin County, north of the Golden Gate Bridge CA
4266650502	2019-01-02T21:49:47	jakeragonesi	istheservicedown	Comcast outage or service down? Current problems and outages	Been out for about 4-5 hours since around 10am PST. 98258 WA. A little frustrating cause today is my day off with now no internet...
4266796986	2019-01-02T23:23:51	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	No internet Villa Rica, Ga
4266797709	2019-01-02T23:24:27	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	No internet or email in Villa Rica, Ga
4266805779	2019-01-02T23:31:14	doogieramses	istheservicedown	Comcast outage or service down? Current problems and outages	My internet has been out here in Northfield  New Hampshire 03276 since around 2pm. Anyone else having problems?  6032103224 call me and let me know what's going on Please?
4266869146	2019-01-03T00:27:37	s13cybergal	istheservicedown	Comcast outage or service down? Current problems and outages	San Leandro 94577 is starting to loose wifi. Mid 2010 imac 1st to go, then my 6th gen ipod and within a few hours my lg k20+ goes. Last time it was down for 2.5 weeks.
4267057257	2019-01-03T03:34:01	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	TV has been lagging since this morning. Tried unplugging for 10 sec and still doesnt work. Unable to use system refresh or restart because it lags so much and cant make it to those features. Anyone else having this problem in 84074?
4267423516	2019-01-03T12:12:40	pajama_man	istheservicedown	Comcast outage or service down? Current problems and outages	Service went down at aprx 4:30 am and has stayed down since
4267457169	2019-01-03T12:49:56	ahairybroad	istheservicedown	Comcast outage or service down? Current problems and outages	No email in 13 hours in Huntsville, Al.
4268205455	2019-01-03T20:50:21	robinrinimcfarlane	istheservicedown	Comcast outage or service down? Current problems and outages	We had what seemed to be a momentary power outage that lasted a couple of seconds then the internet went down in 98372 area.
4268662517	2019-01-04T03:14:32	disqus_UKnklWsm85	istheservicedown	Comcast outage or service down? Current problems and outages	Why is cable wire hot and arcing on side of my house and comcast wont send anyone out now they say wait til tomorrow Are they going to be responsible when someone is electrocuted or my house burns down tonight????
4268809937	2019-01-04T06:20:51	disqus_Ol7GAmMako	istheservicedown	Comcast outage or service down? Current problems and outages	zip code 94086, internet sucks in the last 2 days... Download speed 1.9 Mbps,  Upload speed 0.2 Mbps
4268925781	2019-01-04T09:07:42	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	This is the 3rd time this week that our service has been out... I surely hope you are actually upgrading the lines and your customer service staff isn’t just feeding a line of crap to “appease” the customer. The service in the Elk Grove area is the absolute worst connectivity I’ve ever had from Comcast. It’s an embarrassment to your company.
4269085283	2019-01-04T12:25:51	disqus_rOyeiclfGs	istheservicedown	Comcast outage or service down? Current problems and outages	No Xfinity internet and I work from home. There's good news!!
4269295339	2019-01-04T15:13:47	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	I have been having problems being able to sign in to my work email for the past two weeks. I was able to finally sign in yesterday, but not today again.
4269342785	2019-01-04T15:44:21	disqus_cydKuNTKwO	istheservicedown	Comcast outage or service down? Current problems and outages	Internet is not working at our office in 21044 since 10:35 am. This is ridiculous!
4269403162	2019-01-04T16:21:50	disqus_h3foiTf6wK	istheservicedown	Comcast outage or service down? Current problems and outages	Comcast of Elgin is impossible to reach for support.  They also are once again out on a work day.  This is disruptive to remote meetings. :(  I hate infrastructure monopolies!
4269470280	2019-01-04T17:01:10	hej-315fabf6ba059e2f7df8bf44cf5a6edf	istheservicedown	Comcast outage or service down? Current problems and outages	No internet at 14921 W 142nd St, Olathe
4269654218	2019-01-04T18:49:02	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	I’m having internet connections, being very slow, glitching out, server connections right now for the past 2 hours now
4269800160	2019-01-04T20:19:17	debrasokol	istheservicedown	Comcast outage or service down? Current problems and outages	No internet or tv working<b></b>
4269854388	2019-01-04T20:53:39	jewelpancoast	istheservicedown	Comcast outage or service down? Current problems and outages	they are too busy making bark collars that are voice activated for dogs, Im a dog lovers but people please......
4269929861	2019-01-04T21:43:22	unavailable	istheservicedown	Comcast outage or service down? Current problems and outages	No TV in Machias  north of Snohomish wa 98290
4269998536	2019-01-04T22:30:52	disqus_iL9oPL04sl	istheservicedown	Comcast outage or service down? Current problems and outages	We are experiencing an outage with our Internet service at 1301 Swasey St. Hudson, WI 54016
