id	createdAt	username	forum	thread	raw message
4263485708	2018-12-31T13:45:41	unavailable	istheservicedown	Verizon outage or service down? Current problems and outages	My phone is dropping calls and horrible service since Friday in Walton, KY
4263847340	2018-12-31T18:39:51	gailpiscopoholmes	istheservicedown	Verizon outage or service down? Current problems and outages	Plymouth MA wireless service down??? When can we expect service?
4264053457	2018-12-31T21:41:24	cassandraofee	istheservicedown	Verizon outage or service down? Current problems and outages	All circuits busy? Over 15 mins, Shiloh, IL. I do need it to actually BE A PHONE, first and foremost. #Seriously guys? I'm a customer of 18+years of Verizon & one of the best reasons was availability & coverage map.   This has been happening more frequently to me, especially here in Shiloh & O'Fallon, IL. Maybe they need another tower in the area, as it's growing so fast?  #Wishing Verizon would actually read this.... 😂  Cassandra.ofee@gmail.com
4264149017	2018-12-31T23:15:46	garret_hatch	istheservicedown	Verizon outage or service down? Current problems and outages	Bradford Pa...16701.  No internet.
4264880718	2019-01-01T16:48:19	meredithvinal	istheservicedown	Verizon outage or service down? Current problems and outages	I have no internet, no cable, no access to anything. I have everything bundled with Verizon. Onondaga county. NY
4265077374	2019-01-01T19:39:34	unavailable	istheservicedown	Verizon outage or service down? Current problems and outages	Bridgeport, NY (Cicero) here and have been without any Fios services since the power came back on at 8 am. Cannot find anywhere or anyone to give me an estimate of how long it’s going to be or what the problem even is. Happy new year huh?
4265369087	2019-01-02T00:26:49	johnnyfedup	istheservicedown	Verizon outage or service down? Current problems and outages	I'm from Trenton, NJ. The television, the Internet...keeps going out. It's frustrating. I call. I'm told it's better to report the problem online, but how the heck can I when I have no Internet access? I'm still on hold per my fifth phone call today. Maddening...
4265479705	2019-01-02T02:39:02	nikki_grad	istheservicedown	Verizon outage or service down? Current problems and outages	Our cable is showing "No Signal" and we are not able watch TV. We are located in NE Washington DC. What is going on?
4265492079	2019-01-02T02:54:39	nikki_grad	istheservicedown	Verizon outage or service down? Current problems and outages	We are really concerned about our cable box, it is flashing in and out. We are having a sugar bowl party to watch the game. This is a huge problem! Can you please get back to us ASAP and help fix the problem.
4265744940	2019-01-02T09:40:14	adelinejanusz	istheservicedown	Verizon outage or service down? Current problems and outages	What is going on with Verizon,this is the fourth month now.  I getting tried of no phone or internet. I live in bushkill.pa 18324
4266762811	2019-01-02T22:54:18	lindawire	istheservicedown	Verizon outage or service down? Current problems and outages	My Samsung S9 keeps having intermittent connection issues.  The connection is very slow or will show that I have no internet connection.  Another phone in my house, Apple iphone 8 is having no issue.  It only appears to be on my Samsung.
4266773269	2019-01-02T23:03:07	unavailable	istheservicedown	Verizon outage or service down? Current problems and outages	Here is a tip. Quit charging such high rates for cell service if its not gonna work when you need it! I NEVER had this problen with Straight Talk...
4267306234	2019-01-03T09:37:31	unavailable	istheservicedown	Verizon outage or service down? Current problems and outages	I am very frustrated with the fact that you have can't make a deal with ABC to provided service to customers. Instead you remove the channel! Does that mean you will reduce my bill because ABC is no longer in the lineup? NOT LIKELY!!! Come on! Negotiate! Bring ABC back.!!!
4268337788	2019-01-03T22:15:42	disqus_8U2CoXeTBg	istheservicedown	Verizon outage or service down? Current problems and outages	Issues sending email with or without attachments.
4269063321	2019-01-04T12:03:00	unavailable	istheservicedown	Verizon outage or service down? Current problems and outages	Anyone in Maryland/DC without internet?
4269064019	2019-01-04T12:03:46	unavailable	istheservicedown	Verizon outage or service down? Current problems and outages	Anyone near DC in Maryland without internet?
4269515039	2019-01-04T17:27:15	disqus_vbQOYNTX9Y	istheservicedown	Verizon outage or service down? Current problems and outages	Called customer service and got NOWHERE.. auto responses send u in circles only TO FINALLY BE TOLD ITS AND HOUR WAIT to speak to a REAL LIVE PERSON... no internet and no landline service with no explanation...
4271302821	2019-01-05T21:22:38	unavailable	istheservicedown	Verizon outage or service down? Current problems and outages	Phone keeps going from no service to searching and restarts on its own and there’s nothing I can do without having WiFi
4271372914	2019-01-05T22:22:47	unavailable	istheservicedown	Verizon outage or service down? Current problems and outages	Can’t watch much on my phone. As to where everything worked fine 2 days ago. Everything is loading slowly and then stops. What’s going on? Brooklyn ny 11230
4272004257	2019-01-06T12:30:44	unavailable	istheservicedown	Verizon outage or service down? Current problems and outages	22150 power restored cox repaired all companies back in service except Verizon called and was told 48 hours to wait. Nfl playoffs they charge the most as well wtf
4272542544	2019-01-06T20:08:22	ldsw	istheservicedown	Verizon outage or service down? Current problems and outages	Is there a total outage with Verizon Fios in Bryans Road MD...again? This service is definitely not all that promising given multiple outages within the last three to four months. Unfortunately having phone internet and TV in the hands of one company is a bridge too far. Strongly despise spouse's decision to go this route. If I ever get the upper hand on this setup I will definitely diversify the carriers for each of these services. DirectTV was way more stable than this overpriced Verizon Fios setup that ballooned to more $300. I will start telling and warning  everyone who's willing to here our experience with Verizon Fios to consider keeping services separated to avoid becoming captive and a hostage to a single provider. Good riddance if I get a chance to disrupt this foolishness.
4273076577	2019-01-07T04:45:09	unavailable	istheservicedown	Verizon outage or service down? Current problems and outages	Federal Way WA. Extremely slow internet service in my phone. Most pages won't even load. Took my almost 10min to get to this page. Worked fine yesterday. Had a wind storm last night. Is that the reason and if so when will it be fixed?
4273445385	2019-01-07T13:21:47	disqus_OA7D4L8SdS	istheservicedown	Verizon outage or service down? Current problems and outages	I have an emergency and I can't call my doctor This is not cool.
4273630641	2019-01-07T15:40:25	suzigivensbell	istheservicedown	Verizon outage or service down? Current problems and outages	J'ville - cannot receive or make calls ;(
4274057950	2019-01-07T20:01:54	disqus_CBDKUNdh6H	istheservicedown	Verizon outage or service down? Current problems and outages	Something's very wrong with my service! Neither my internet or cell phone are working. I live way out of town and rely on Verizon Wireless for (essentially all) my communication with the "outside" world. I'm near Black Diamond, Washington. I drove to a neighbors, using his landline, to have my daughter post this for me! She told me that the outage map doesn't show a problem right in my area. Is anyone else being plagued by this problem?
4274509623	2019-01-08T01:30:45	joshua_enloe	istheservicedown	Verizon outage or service down? Current problems and outages	I’m on a plan with 6 other lines no one can connect to 4g lte my service jumps from 1x to 3g then nothing this new 5g deal messed everything up I’m sure everyone on here pays good money for there phones everyone at Verizon hit the drawing board grab you a Red Bull and solve the problem
4274878593	2019-01-08T08:30:07	unavailable	istheservicedown	Verizon outage or service down? Current problems and outages	Yes!!! My husband is a business owner and this is horrible. We live off Auburn/Black Diamond. Lived out here two years. First thing we did was have our house wired up to a good generator.   Thought we were safe with Verizon back up portable WiFi....Nope that won’t even run anything.  I was prepared for cable/power to go, but my cell service I didn’t expect to go out over a wind storm. It’s not even state wide.
4275147552	2019-01-08T13:33:46	joshua_enloe	istheservicedown	Verizon outage or service down? Current problems and outages	Still no cell service here in Fenton Missouri you guys better hurry up and get this fixed people are going to start switching carriers!
4275201747	2019-01-08T14:14:35	unavailable	istheservicedown	Verizon outage or service down? Current problems and outages	Knoxville to Powell TN, no data connection, phone works intermittently.
4275855544	2019-01-08T20:43:31	generazollinger	istheservicedown	Verizon outage or service down? Current problems and outages	No wireless phone service in Cortland NY, center of the state.
